Year,The Americas,Oceania,Middle East,Europe,Asia,Africa
2000,450.0285714,349.4545455,427.8461538,1143.454545,182.1,50.52
2001,463.2285714,339.1818182,459.2307692,1177.045455,169.8,50.36
2002,463.4,376.4545455,449.0769231,1359.477273,169.6129032,50.98
2003,493.5428571,461.7272727,511,1704.25,196.1290323,61.04
2004,532.6571429,556.9090909,532.0769231,1975.931818,215.5806452,73.46
2005,590.1714286,624,561.3076923,2113.840909,238,80.34
2006,655,651.9090909,592.3076923,2232.75,255.0322581,88.1
2007,729.9714286,764.1818182,636,2565.431818,281.2258065,97.92
2008,795.5428571,806.6363636,715.6153846,2851.295455,322.5483871,113.5882353
2009,811,778.4545455,759.4615385,2706.545455,340.5483871,117.745098
2010,872.1714286,937.5454545,750.2307692,2677.818182,379.3548387,130.1568627
2011,923.2571429,1085.727273,828.6153846,2880.613636,431.1612903,143.8039216
2012,961.5428571,1059.272727,878.7692308,2737.545455,458.516129,155.7058824
